,Kaupunginosa ,Huoneisto,Talot. ,m2 ,Vh € ,€/m2 ,Rv ,Krs ,Hissi ,Kunto ,Tontti ,Energial. ,postcode
8,Keskusta,"1h, kk, kph, s,...",kt,2800,94000,3357,1986,3/4,on,hyvä,oma,F2013,96100
9,Keskusta,varasto,kt,600,3600,600,2018,-1/5,on,hyvä,oma,C2013,96100
10,Keskusta,"1h, kk, alk, s, p",kt,3050,126000,4131,2020,2/6,on,hyvä,vuokra,C2013,96100
11,3. kaupunginosa,"1h, kk, kph + l...",kt,3450,77000,2232,1978,3/6,on,hyvä,oma,D2018,96100
12,Keskusta,1h+kk,kt,2450,99400,4057,2020,2/6,on,hyvä,vuokra,C2013,96100
13,Keskusta,"1h, kk, alk, kp...",kt,2750,112000,4073,2020,2/6,on,hyvä,vuokra,C2013,96100
14,Keskusta,"1h, kt, kph, rp",kt,2700,113400,4200,2020,4/5,on,hyvä,oma,B2018,96100
15,3. kaupunginosa,"1h,kk,alkovi,kp...",kt,3600,91000,2528,2007,1/3,ei,hyvä,vuokra,E2013,96100
16,Keskusta,"1h, kk, kph + l...",kt,3150,90000,2857,1963,3/4,on,hyvä,oma,F2013,96100
17,Keskusta,"1h,kk",kt,2900,82000,2828,2000,3/5,on,hyvä,oma,F2018,96100
18,Keskusta,autohallipaikka,kt,1250,17000,1360,2020,-1/6,on,hyvä,vuokra,C2013,96100
19,3. kaupunginosa,1h+tupak,kt,2200,52000,2364,1969,2/4,on,hyvä,oma,,96100
20,Veitikanharju,"1h,kk",kt,2900,69000,2379,1975,2/4,on,hyvä,oma,E2013,96100
21,3. kaupunginosa,1h+tupak,kt,2200,53000,2409,1969,3/4,on,hyvä,oma,,96100
22,3. kaupunginosa,"1h, tupak, alk,...",kt,3550,115000,3239,2008,3/4,on,hyvä,oma,E2013,96100
23,Keskusta,1h+kk+alk,kt,3600,123690,3436,2019,6/6,on,hyvä,vuokra,C2013,96100
24,Keskusta,autopaikka,kt,1250,4500,360,2019,-1/6,on,hyvä,vuokra,C2013,96100
25,Keskusta,autohallipaikka,kt,1250,17000,1360,2019,-1/6,on,hyvä,vuokra,C2013,96100
26,Keskusta,1h+kk,kt,2450,111500,4551,2019,6/6,on,hyvä,vuokra,C2013,96100
27,3. kaupunginosa,"1h, kk, kph, al...",kt,2800,74000,2643,1984,2/4,on,hyvä,oma,D2018,96100
28,Keskusta,autopaikka,kt,1250,4500,360,2020,,on,hyvä,oma,B2018,96100
29,Keskusta,"1h, kt, kph, rp",kt,2700,113400,4200,2020,4/5,on,hyvä,oma,B2018,96100
30,Keskusta,"1h, kt, kph, rp",kt,2700,116100,4300,2020,5/5,on,hyvä,oma,B2018,96100
31,3. kaupunginosa,"1h, kk, kph, s,...",kt,3200,94000,2938,1991,4/4,on,hyvä,oma,E2013,96100
32,Keskusta,varasto,kt,300,1800,600,2018,-1/5,on,hyvä,oma,C2013,96100
33,Keskusta,varasto,kt,350,2100,600,2018,-1/5,on,hyvä,oma,C2013,96100
34,Keskusta,varasto,kt,600,3600,600,2018,-1/5,on,hyvä,oma,C2013,96100
35,Keskusta,varasto,kt,900,5400,600,2018,-1/5,on,hyvä,oma,C2013,96100
36,Keskusta,autopaikka,kt,1250,4500,360,2020,,on,hyvä,oma,B2018,96100
37,Keskusta,"1h, kt, kph, rp",kt,2700,108000,4000,2020,2/5,on,hyvä,oma,B2018,96100
38,Keskusta,"1h, kt, kph, rp",kt,2700,108000,4000,2020,2/5,on,hyvä,oma,B2018,96100
39,Keskusta,"1h, kt, kph, rp",kt,2700,110700,4100,2020,3/5,on,hyvä,oma,B2018,96100
40,Etelärinne,"1h,kk",kt,3300,62000,1879,1978,2/5,on,hyvä,vuokra,C2018,96100
41,3.kaupunginosa,Autohallipaikka,kt,1300,13000,1000,2018,1/4,on,hyvä,oma,C2013,96100
42,Veitikanharju,"1h,k,ransk.p",kt,2700,58000,2148,1962,3/4,ei,hyvä,oma,E2013,96100
43,Keskusta,1h+kk,kt,2450,93238,3806,2019,3/6,on,hyvä,vuokra,C2013,96100
44,Keskusta,1h+kk,kt,2450,95434,3895,2019,4/6,on,hyvä,vuokra,C2013,96100
45,Keskusta,1h+kk,kt,2450,97722,3989,2019,5/6,on,hyvä,vuokra,C2013,96100
46,Keskusta,1h+kk+alk+s,kt,3050,109068,3576,2019,4/6,on,hyvä,vuokra,C2013,96100
47,Keskusta,1h+kk+alk+s+p,kt,3050,111722,3663,2019,2/6,on,hyvä,vuokra,C2013,96100
48,Keskusta,1h+kk+alk+s,kt,3050,111813,3666,2019,5/6,on,hyvä,vuokra,C2013,96100
49,Keskusta,1h+kk+alk+s+p,kt,3050,114558,3756,2019,3/6,on,hyvä,vuokra,C2013,96100
50,Keskusta,1h+kk+alk,kt,3600,109434,3040,2019,4/6,on,hyvä,vuokra,C2013,96100
51,Keskusta,1h+kk+alk,kt,3600,112728,3131,2019,5/6,on,hyvä,vuokra,C2013,96100
52,Keskusta,autohallipaikka,kt,1250,17000,1360,2019,-1/6,on,hyvä,vuokra,C2013,96100
53,Keskusta,"1h, kt, kph, p",kt,3700,3200,86,1980,3/4,on,hyvä,oma,E2018,96100
54,Keskusta,"1h, kt, kph, p",kt,3700,62000,1676,1980,3/4,on,hyvä,oma,E2018,96100
55,2,2,2,2,2,2,2,2,2,2,2,2,96100
56,,2,,,,,,,,,,,96100
0,3,3,3,3,3,3,3,3,3,3,3,3,96100
1,,3,,,,,,,,,,,96100
2,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,96100
3,Keskusta,katospaikka,kt,1250,8000,640,2020,,on,hyvä,oma,B2018,96100
4,Keskusta,"1h, kt, kph, rp",kt,2700,110700,4100,2020,3/5,on,hyvä,oma,B2018,96100
5,Veitikanharju,"1h, kk, kph, p",kt,3900,93000,2385,2000,2/4,on,hyvä,oma,F2013,96100
6,Keskusta,autopaikka,kt,1250,4500,360,2020,,on,hyvä,oma,B2018,96100
7,Keskusta,"1h, kt, kph, rp",kt,2700,110700,4100,2020,3/5,on,hyvä,oma,B2018,96100
8,Keskusta,"1h, kt, kph, p",kt,2800,112000,4000,2020,2/5,on,hyvä,oma,B2018,96100
9,Keskusta,"1h, kt, kph, p",kt,2800,117600,4200,2020,4/5,on,hyvä,oma,B2018,96100
10,Keskusta,autopaikka,kt,1250,4500,360,2020,,on,hyvä,oma,B2018,96100
11,Keskusta,autopaikka,kt,1250,4500,360,2020,,on,hyvä,oma,B2018,96100
12,Keskusta,autopaikka,kt,1250,4500,360,2020,,on,hyvä,oma,B2018,96100
13,Keskusta,"1h, kt, kph, rp",kt,2700,113400,4200,2020,4/5,on,hyvä,oma,B2018,96100
14,Keskusta,"1h, kt, kph, rp",kt,2700,116100,4300,2020,5/5,on,hyvä,oma,B2018,96100
15,Keskusta,"1h, kt, kph, rp",kt,2700,116100,4300,2020,5/5,on,hyvä,oma,B2018,96100
16,Keskusta,"1h, kt, kph, p",kt,2800,112000,4000,2020,2/5,on,hyvä,oma,B2018,96100
17,Keskusta,"1h, kt, kph, p",kt,2800,114800,4100,2020,3/5,on,hyvä,oma,B2018,96100
18,Keskusta,"1h, kt, kph, p",kt,2800,117600,4200,2020,4/5,on,hyvä,oma,B2018,96100
19,Keskusta,"1h, kt, kph, p",kt,2800,120400,4300,2020,5/5,on,hyvä,oma,B2018,96100
20,Keskusta,"1h, alk, kk, kp...",kt,4250,160000,3765,2018,2/4,on,hyvä,oma,C2013,96100
21,Keskusta,"1h, kt, kph, rp",kt,2700,108000,4000,2020,2/5,on,hyvä,oma,B2018,96100
22,Keskusta,autopaikka,kt,1250,4500,360,2020,,on,hyvä,oma,B2018,96100
23,Keskusta,"1h, kt, kph, p",kt,2800,114800,4100,2020,3/5,on,hyvä,oma,B2018,96100
24,Keskusta,"1h, kt, kph, p",kt,2800,120400,4300,2020,5/5,on,hyvä,oma,B2018,96100
25,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,96100
26,3. kaupunginosa,"2h, kk kph, s +...",kt,3650,122000,3342,2013,3/5,on,hyvä,vuokra,,96100
27,3. kaupunginosa,"2h, k, s, p",kt,5400,112000,2074,1995,3/4,on,hyvä,oma,,96100
28,Keskusta,"2h,kk,s,p/toimisto",kt,5500,205000,3727,2017,2/5,on,hyvä,oma,C2013,96100
29,3. kaupunginosa,"2h, kk, kph, s ...",kt,3650,120000,3288,2013,3/4,on,hyvä,oma,F2013,96100
30,3. kaupunginosa,"2h, k, kph, las.p",kt,5350,75000,1402,1983,1/3,ei,hyvä,vuokra,E2013,96100
31,Veitikanharju,"2h,k,s,p",kt,5800,93000,1603,1984,3/3,ei,hyvä,oma,F2018,96100
32,Iii kaupungin osa,"2h,tk,s,p",kt,4300,114000,2651,1999,4/5,on,hyvä,oma,F2013,96100
33,3.kaupunginosa,"2h,kk,s,p",kt,4200,141800,3376,2016,3/6,on,hyvä,oma,C2013,96100
34,Keskusta,"2h, k, kph, s, ...",kt,4000,154230,3856,2021,2/6,on,hyvä,oma,B2018,96100
35,Keskusta,"2h, k, kph, s, ...",kt,4000,159000,3975,2021,2/5,on,hyvä,oma,B2018,96100
36,3. kaupunginosa,"2h, kk, kph, s, p",kt,4350,127000,2920,2013,1/4,on,hyvä,oma,B2018,96100
37,3.kaupunginosa,"2h,k,s,p",kt,5900,105000,1780,1985,3/4,on,hyvä,oma,C2018,96100
38,Keskusta,"2h, k, kph, s +...",kt,4300,154000,3581,2021,2/6,on,hyvä,oma,B2018,96100
39,3.kaupunginosa,"2h,k,p",kt,5100,79000,1549,1984,2/4,on,hyvä,oma,F2018,96100
40,Veitikanharju,"2h,kk,p",kt,5200,103500,1990,1972,2/3,on,hyvä,oma,E2013,96100
41,Keskusta,"2h, kk, kph, vh",kt,4050,87000,2148,1964,3/4,on,hyvä,oma,F2013,96100
42,Keskusta,"2(3)h, k, kph, ...",kt,7550,175000,2318,2000,3/5,on,hyvä,oma,E2013,96100
43,3.kaupunginosa,2 h + keitti...,kt,4300,131875,3067,2013,1/5,on,hyvä,vuokra,A2013,96100
44,Keskusta,"2h,k,kph",kt,3600,64000,1778,1959,1/3,on,hyvä,oma,F2018,96100
45,Keskusta,"2h, kt, kph, s, p",kt,4000,166000,4150,2020,5/5,on,hyvä,oma,B2018,96100
46,Keskusta,"2h, kk, kph, s,...",kt,5200,156000,3000,2014,2/6,on,hyvä,oma,B2018,96100
47,Keskusta,"2h, kt, vh, kph...",kt,4400,180400,4100,2020,5/5,on,hyvä,oma,B2018,96100
48,Keskusta,"2h, kk, kph, s,...",kt,4700,145000,3085,2007,3/4,on,hyvä,oma,D2013,96100
49,Veitikanharju,"2h, k, kph, vh,...",kt,5900,102000,1729,1977,3/3,on,hyvä,oma,,96100
50,Etelärinne,"2h,k,p",kt,6200,54500,879,1978,4/6,on,hyvä,oma,D2018,96100
51,Veitikanharju,"1h,tupak,s,p",kt,4200,167000,3976,2015,4/5,on,hyvä,oma,C2013,96100
52,Keskusta,"2h,k,kh,p (YJ:n...",kt,6200,70000,1129,1963,2/4,on,tyyd.,oma,D2007,96100
53,Iii kaupungin osa,"2h,k",rt,5700,73000,1281,1971,1/2,ei,hyvä,vuokra,D2007,96100
54,3. kaupunginosa,"2h, k, vh, kph,...",kt,5550,160000,2883,2008,1/4,on,hyvä,oma,D2013,96100
55,Keskusta,"2h,kk,s,p",kt,4400,185000,4205,2017,5/5,on,hyvä,oma,C2013,96100
56,3,3,3,3,3,3,3,3,3,3,3,3,96100
57,,3,,,,,,,,,,,96100
0,4,4,4,4,4,4,4,4,4,4,4,4,96100
1,,4,,,,,,,,,,,96100
2,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,96100
3,Keskusta,2h+kk+s,kt,5800,104400,1800,1998,2/4,ei,hyvä,vuokra,D2013,96100
4,Kirkonkangas,"2h,bk,s,p",kt,4800,116500,2427,1982,2/2,ei,hyvä,oma,E2018,96100
5,Keskusta,2h+kk+p,kt,3500,132000,3771,2019,4/6,on,hyvä,vuokra,C2013,96100
6,Veitikanharju,"2h,k,s",kt,6550,135000,2061,1984,1/4,on,tyyd.,oma,E2013,96100
7,Keskusta,2h+kk+s+p,kt,4350,122300,2811,2020,2/6,on,hyvä,vuokra,C2013,96100
8,Veitikanharju,"2h, kk, kph, s,...",kt,4700,10000,213,2000,3/4,on,hyvä,oma,F2013,96100
9,Veitikanharju,"2h, kk, kph, s,...",kt,4700,111000,2362,2000,3/4,on,hyvä,oma,F2013,96100
10,Etelärinne,"2h, k, alk, kph...",rt,5500,78000,1418,1968,1/2,ei,hyvä,oma,,96100
11,Keskusta,"2h, kk, vh, kph...",kt,5350,110000,2056,2000,3/5,on,hyvä,oma,F2018,96100
12,3. kaupunginosa,"2h, k, kph",kt,4900,83000,1694,1956,3/3,ei,hyvä,oma,D2013,96100
13,Santamäki,"2h,k,s",rt,5200,154960,2980,2021,1/1,ei,hyvä,vuokra,B2018,96100
14,Keskusta,"2h,kk,s/toimisto",kt,4400,126500,2875,2005,4/5,on,hyvä,oma,C2013,96100
15,3. kaupunginosa,"2h, k, vh, kph,...",kt,4700,3000,64,2017,2/5,on,hyvä,oma,C2013,96100
16,3. kaupunginosa,"2h, k, vh, kph,...",kt,4700,150500,3202,2017,2/5,on,hyvä,oma,C2013,96100
17,Kuusirinne,2h+k,rt,5600,102000,1821,1990,1/2,ei,hyvä,vuokra,D2013,96100
18,3. kaupunginosa,"2h, k, kph, s, ...",kt,5500,136000,2473,2000,4/4,on,hyvä,oma,E2013,96100
19,3. kaupunginosa,"2h, kk, kph, s, p",kt,3800,3000,79,2016,2/6,on,hyvä,oma,C2013,96100
20,3. kaupunginosa,"2h, kk, kph, s, p",kt,3800,135000,3553,2016,2/6,on,hyvä,oma,C2013,96100
21,Kirkonkangas,"2h,k,s,p",kt,4300,164000,3814,2006,4/4,on,hyvä,oma,C2018,96100
22,Keskusta,"2h, k, kph, s, ...",kt,6200,94000,1516,1984,1/3,ei,hyvä,oma,C2018,96100
23,Iii kaupungin osa,"2h,kk,s,p",kt,4800,119000,2479,2008,1/5,on,hyvä,oma,E2013,96100
24,Keskusta,"2h, kk, p",kt,3500,127740,3650,2019,2/6,on,hyvä,vuokra,C2013,96100
25,3. kaupunginosa,"2h, kk, kph, s ...",kt,4450,112500,2528,2007,2/2,ei,hyvä,oma,E2013,96100
26,3. kaupunginosa,"2h, kk, kph, s,...",kt,4350,145500,3345,2013,3/5,on,hyvä,oma,C2018,96100
27,Keskusta,2h+kk+s,kt,4000,135300,3383,2019,4/6,on,hyvä,vuokra,C2013,96100
28,3.kaupunginosa,"2h,kk,s,p",kt,3800,144000,3789,2018,4/4,on,hyvä,oma,C2013,96100
29,Ratantaus,"2h,kk,s,p",kt,3900,141500,3628,2017,4/6,on,hyvä,oma,C2013,96100
30,3. kaupunginosa,"2h, k, kph, s, ...",kt,4900,158500,3235,2016,3/6,on,hyvä,oma,C2013,96100
31,Veitikanharju,"2h, k, kph, s +...",kt,4700,109000,2319,1985,3/3,on,hyvä,oma,E2013,96100
32,Veitikanharju,"2h,k,kh,p",kt,4800,46418,967,1962,3/3,on,hyvä,oma,E2013,96100
33,3.kaupunginosa,"2h,kk,kph",kt,3700,108000,2919,2010,3/4,on,hyvä,oma,B2013,96100
34,Iii kaupungin osa,"2h,k,s, p",kt,4900,142000,2898,2008,3/5,on,hyvä,oma,D2013,96100
35,3.kaupunginosa,"2h,kk,kph",kt,4200,60000,1429,1962,4/4,ei,hyvä,vuokra,G2013,96100
36,Keskusta,"tupak, mh, kph,...",kt,3750,139000,3707,1999,5/5,on,hyvä,oma,F2013,96100
37,3. kaupunginosa,"2h, kk, kph, s,...",kt,5150,7000,136,2012,3/5,on,hyvä,vuokra,C2013,96100
38,3. kaupunginosa,"2h, kk, kph, s,...",kt,5150,150000,2913,2012,3/5,on,hyvä,vuokra,C2013,96100
39,Kirkonkangas,"2h,k,s,p",kt,6200,121500,1960,1984,1/3,ei,hyvä,oma,C2018,96100
40,Keskusta,2h+kk+t,kt,3500,107330,3067,2019,1/6,on,hyvä,vuokra,C2013,96100
41,Keskusta,2h+kk+p,kt,3500,112454,3213,2019,2/6,on,hyvä,vuokra,C2013,96100
42,Keskusta,"2h,k,s,p",kt,6000,125000,2083,1999,1/4,on,hyvä,oma,E2013,96100
43,Keskusta,2h+kk+s,kt,4000,120800,3020,2019,1/6,on,hyvä,vuokra,C2013,96100
44,3.kaupunginosa,"2h,k,kph,s,vh,p",kt,5200,155000,2981,2015,4/4,on,hyvä,oma,C2013,96100
45,Keskusta,2h+kk+s+p,kt,3550,135800,3825,2019,4/6,on,hyvä,vuokra,C2013,96100
46,3.kaup.osa,2h+k+s,kt,4450,140000,3146,2014,1/5,on,hyvä,oma,C2013,96100
47,Keskusta,2h+kk+s+p,kt,3650,132200,3622,2019,2/6,on,hyvä,vuokra,C2013,96100
48,Keskusta,2h+kk+s,kt,4000,127200,3180,2019,2/6,on,hyvä,vuokra,C2013,96100
49,Keskusta,"2h, avok, vh, k...",kt,5150,115000,2233,1964,4/5,on,hyvä,oma,E2013,96100
50,Keskusta,"2h, kt, kph, s,...",kt,3100,119350,3850,2020,1/5,on,hyvä,oma,B2018,96100
51,Keskusta,"2h, kk, kph",kt,4250,73000,1718,1973,2/3,on,hyvä,oma,F2013,96100
52,Keskusta,"2h, kk, kph/s, ...",kt,5200,158000,3038,2014,3/5,on,hyvä,oma,B2018,96100
53,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,96100
54,Iii kaupungin osa,"3h,k,s,p",kt,7100,203000,2859,2005,2/4,on,hyvä,oma,B2007,96100
55,3. kaupunginosa,"3h, k, työ...",kt,9150,314000,3432,2018,3/5,on,hyvä,oma,C2013,96100
56,4,4,4,4,4,4,4,4,4,4,4,4,96100
57,,4,,,,,,,,,,,96100
0,5,5,5,5,5,5,5,5,5,5,5,5,96100
1,,5,,,,,,,,,,,96100
2,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,96100
3,3. kaupunginosa,"3h, k, kph, s, ...",kt,6600,207000,3136,2013,4/4,on,hyvä,oma,F2013,96100
4,Keskusta,3h+k+s+2p,kt,6600,257500,3902,2020,6/6,on,hyvä,vuokra,C2013,96100
5,3. kaupunginosa,"3h, k, khh, kph...",kt,7850,240000,3057,2015,5/6,on,hyvä,oma,C2013,96100
6,3.kaupunginosa,"3h,k,s,las.p",kt,7400,172140,2326,2004,5/5,on,hyvä,oma,D2018,96100
7,Keskusta,"3h, k, kph, s, ...",kt,6900,238000,3449,2011,4/6,on,hyvä,oma,C2018,96100
8,Keskusta,"3h, k, khh, kph...",kt,8400,275000,3274,2018,3/4,on,hyvä,oma,C2013,96100
9,3. kaupunginosa,"3h, k, vh, kph,...",rt,7500,92000,1227,1984,1/1,ei,hyvä,oma,F2013,96100
10,Veitikanharju,"3h,k,s,p",kt,7000,324000,4629,2015,3/5,on,hyvä,oma,C2013,96100
11,Etelärinne,"3h, k, kph, ty&...",rt,7000,95000,1357,1967,1/2,ei,hyvä,oma,D2013,96100
12,Etelärinne,"3h,k,s,p",kt,6600,104000,1576,1986,3/5,on,hyvä,vuokra,E2013,96100
13,3. kaupunginosa,"3h, k, kph, s, ...",kt,6900,211000,3058,2015,4/4,on,hyvä,oma,B2018,96100
14,3.kaupunginosa,"3h,k,s",rt,7600,228000,3000,2018,1/1,ei,hyvä,oma,C2013,96100
15,Veitikanharju,"3h,k,p",kt,6900,98000,1420,1982,1/3,on,hyvä,oma,D2018,96100
16,Keskusta,"3h,k,s,p",kt,6900,194000,2812,2014,3/5,on,hyvä,oma,B2018,96100
17,Keskusta,"3h, k, kph, s, ...",kt,7150,250000,3497,2018,2/5,on,hyvä,oma,C2013,96100
18,Keskusta,"3h,k,kh,vh,p",kt,6900,70000,1014,1963,3/4,on,hyvä,oma,E2013,96100
19,Keskusta,"3h,k,s,p",kt,5300,170500,3217,2016,4/4,on,hyvä,vuokra,C2013,96100
20,3. kaupunginosa,"3h, k, kph, s, ...",kt,6500,157000,2415,2006,2/3,on,hyvä,oma,D2018,96100
21,3. kaupunginosa,"3h, k, kph, s, ...",rt,7500,95000,1267,1984,2/2,ei,hyvä,oma,F2013,96100
22,Veitikanharju,"3h, k, s, kph, ...",kt,7550,149000,1974,1984,1/3,ei,hyvä,oma,F2018,96100
23,Keskusta,"3h,k,s",kt,9200,298000,3239,2014,3/6,on,hyvä,oma,B2018,96100
24,Keskusta,"3h, k, ph, sh, ...",kt,10200,314200,3080,2018,3/5,on,hyvä,oma,C2013,96100
25,Keskusta,"3h,k,s,p",kt,7300,286100,3919,2018,4/5,on,hyvä,oma,C2013,96100
26,Keskusta,"3h,k,s,p",kt,5300,162500,3066,2016,2/4,on,hyvä,vuokra,C2013,96100
27,3.kaupunginosa,"3h,k,p",kt,7400,169000,2284,1977,2/4,on,hyvä,oma,D2013,96100
28,Kirkonkangas,"3h,k,takkah,s,p",kt,8400,315000,3750,2016,4/4,on,hyvä,oma,C2013,96100
29,Veitikanharju,"3h, k, kph, s, ...",kt,7900,135000,1709,1981,3/3,on,hyvä,oma,D2013,96100
30,Rovaniemi,3h+kk+s,kt,6200,204500,3298,2014,2/6,on,hyvä,vuokra,B2018,96100
31,3. kaupunginosa,"3h, k, kph, s, ...",kt,7100,87000,1225,1985,2/2,ei,hyvä,oma,D2018,96100
32,Keskusta,"3h, k, kph, s, ...",kt,6950,207860,2991,2018,1/5,on,hyvä,oma,C2013,96100
33,Keskusta,"3h, k, kph + pa...",kt,7600,90000,1184,1967,4/4,on,tyyd.,oma,F2013,96100
34,Keskusta,"2h,k,alk,s,p",kt,5500,193000,3509,2015,4/4,on,hyvä,vuokra,,96100
35,3. kaupunginosa,"3h, k, kph, s, ...",kt,6550,3000,46,2005,4/4,on,hyvä,oma,B2007,96100
36,3. kaupunginosa,"3h, k, kph, s, ...",kt,6550,171500,2618,2005,4/4,on,hyvä,oma,B2007,96100
37,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,96100
38,3. kaupunginosa,"4h, k, kph",kt,7140,114000,1597,1956,1/3,ei,hyvä,oma,D2013,96100
39,Etelärinne,"4h, k, kph, 3vh",rt,8140,111000,1364,1961,1/1,ei,hyvä,vuokra,D2013,96100
40,Keskusta,4h+k+s+2p,kt,8650,304800,3524,2020,5/6,on,hyvä,vuokra,C2013,96100
41,Keskusta,"3mh, oh, k, tak...",kt,12850,365000,2840,2014,5/5,on,hyvä,oma,B2018,96100
42,Keskusta,"4h, k, kph, las.p",kt,10300,111000,1078,1967,4/4,on,hyvä,oma,F2013,96100
43,Veitikanharju,Kerrostalohuone...,kt,9800,163000,1663,1977,4/4,on,hyvä,oma,,96100
44,Keskusta,4h+k+s+2p,kt,8650,319500,3694,2019,6/6,on,hyvä,vuokra,C2013,96100
45,Keskusta,"4h,k,kh,p",kt,7900,102000,1291,1964,2/4,on,hyvä,oma,E2013,96100
46,Korkalonrinne,4h+k,rt,8600,120000,1395,1960,3/3,ei,hyvä,oma,,96100
47,,"4mh, oh, k, khh...",ok,13250,290000,2189,2005,-1/2,ei,hyvä,vuokra,C2018,96100
48,,"4mh, oh, k, kel...",ok,14000,145000,1036,1948,-1/3,ei,tyyd.,oma,E2018,96100
49,,"AK:k,oh,mh YK:2...",ok,17000,192000,1129,1957,,ei,hyvä,oma,B2018,96100
50,,"4mh, oh, k, kph...",ok,14000,105000,750,1947,,ei,tyyd.,oma,D2018,96100
51,,"3mh, oh, k, et,...",ok,11000,167000,1518,1995,-1/1,ei,hyvä,vuokra,D2018,96100
52,5,5,5,5,5,5,5,5,5,5,5,5,96100
53,,5,,,,,,,,,,,96100
0,,,,,,,,,,,,,96190
1,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,Yksiö,96190
2,"Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.","Tuloksia on vähemmän kuin kolme, joten tuloksia ei näytetä.",96190
3,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,Kaksi huonetta,96190
4,Lapinrinne,"2h, k, kph, s, ...",rt,5600,121000,2161,2001,1/1,ei,hyvä,oma,F2013,96190
5,Lapinrinne,"2h, k, kph, s",rt,5500,154000,2800,2014,1/1,ei,hyvä,oma,C2007,96190
6,Vennivaara,"2h,k,s",rt,5200,130000,2500,2013,1/1,ei,hyvä,vuokra,E2018,96190
7,Aronrinne,"2h,k,s",rt,5500,82000,1491,1987,1/1,ei,hyvä,oma,G2013,96190
8,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,Kolme huonetta,96190
9,Lapinrinne,"3h, k, wc, kph,...",rt,6500,120000,1846,1990,1/1,ei,hyvä,vuokra,,96190
10,Vennivaara,"3h, k, kph, s, khh",rt,7300,157000,2151,2010,1/1,ei,hyvä,vuokra,D2018,96190
11,Vennivaara,"3h, k, khh, kph...",rt,7000,160000,2286,2013,1/1,ei,hyvä,vuokra,E2018,96190
12,Aronrinne,"3h, k, kph, s, ...",rt,7900,91000,1152,1983,-1/2,ei,hyvä,oma,E2013,96190
13,Vennivaara,"3h, k, kph, s, ...",rt,7250,184500,2545,2016,1/1,ei,hyvä,vuokra,C2018,96190
14,,"2mh, oh, k, khh...",ok,9000,217000,2411,2017,-1/1,ei,hyvä,vuokra,C2013,96190
15,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,Neljä huonetta tai enemmän,96190
